year,RUG,UvA,RU,VU,TUD,TUE,WUR,EUR,UU,LEI,UM,UT,UTi
1990,124,8,161,6,99,139,71,77,23,3,39,49,34
1991,168,7,129,12,127,140,75,65,28,2,52,75,40
1992,169,12,139,14,167,152,120,77,33,3,61,105,37
1993,210,22,183,14,139,176,147,95,48,4,103,146,58
1994,195,160,194,27,175,231,163,88,34,3,91,134,49
1995,255,297,201,51,206,282,176,114,40,5,77,106,66
1996,249,284,225,95,174,263,184,103,35,5,84,118,73
1997,282,374,245,156,183,239,197,114,46,9,92,152,60
1998,297,313,243,122,205,191,191,103,30,9,107,143,64
1999,272,331,254,179,179,216,201,111,64,6,95,112,66
2000,263,296,227,158,169,190,200,117,99,14,89,109,68
2001,278,335,270,133,179,232,221,110,169,8,113,136,61
2002,259,378,216,146,177,234,233,117,183,10,105,132,65
2003,274,354,224,200,181,218,185,142,203,12,138,160,63
2004,319,378,219,226,199,254,179,154,184,23,126,138,61
2005,335,362,229,245,215,282,201,213,189,222,155,176,73
2006,389,369,264,268,209,257,233,249,385,280,144,186,97
2007,333,436,303,294,225,283,258,237,423,266,191,170,88
2008,355,423,276,442,225,295,218,260,304,316,177,196,88
2009,391,467,274,465,261,281,201,283,359,315,203,220,90
2010,417,495,282,504,333,282,209,282,333,332,178,215,111
2011,423,524,310,510,317,309,201,294,309,333,195,209,130
2012,476,580,343,533,300,339,236,308,356,393,234,210,132
2013,439,693,387,626,352,325,276,297,356,394,251,228,132
2014,447,672,359,610,373,343,288,315,348,418,291,257,155
2015,505,671,366,661,353,355,305,328,340,410,364,245,166
2016,539,745,415,628,394,329,296,368,327,402,349,288,124
2017,508,749,435,587,357,313,298,310,323,427,341,214,119
2018,513,765,389,577,368,389,286,322,310,444,363,262,130
2019,551,765,433,553,400,395,294,327,328,433,341,259,108
2020,578,733,369,608,364,325,282,314,282,446,319,203,102
2021,142,179,97,158,125,73,64,59,36,101,96,43,20
