,RUG,UvA,RU,VU,TUD,TUE,WUR,EUR,UU,LU,UM,UT,UvT
1990,3367,105,2760,182,1876,1087,1051,767,270,30,312,121,392
1991,3535,112,2889,194,2003,1227,1126,832,298,32,364,196,432
1992,3704,124,3028,208,2170,1379,1246,909,331,35,425,301,469
1993,3914,146,3211,222,2309,1555,1393,1004,379,39,528,447,527
1994,4109,306,3405,249,2484,1786,1556,1092,413,42,619,581,576
1995,4364,603,3606,300,2690,2068,1732,1206,453,47,696,687,642
1996,4613,887,3831,395,2864,2331,1916,1309,488,52,780,805,715
1997,4895,1261,4076,551,3047,2570,2113,1423,534,61,872,957,775
1998,5192,1574,4319,673,3252,2761,2304,1526,564,70,979,1100,839
1999,5464,1905,4573,852,3431,2977,2505,1637,628,76,1074,1212,905
2000,5727,2201,4800,1010,3600,3167,2705,1754,727,90,1163,1321,973
2001,6005,2536,5070,1143,3779,3399,2926,1864,896,98,1276,1457,1034
2002,6264,2914,5286,1289,3956,3633,3159,1981,1079,108,1381,1589,1099
2003,6538,3268,5510,1489,4137,3851,3344,2123,1282,120,1519,1749,1162
2004,6857,3646,5729,1715,4336,4105,3523,2277,1466,143,1645,1887,1223
2005,7192,4008,5958,1960,4551,4387,3724,2490,1655,365,1800,2063,1296
2006,7581,4377,6222,2228,4760,4644,3957,2739,2040,645,1944,2249,1393
2007,7914,4813,6525,2522,4985,4927,4215,2976,2463,911,2135,2419,1481
2008,8269,5236,6801,2964,5210,5222,4433,3236,2767,1227,2312,2615,1569
2009,8660,5703,7075,3429,5471,5503,4634,3519,3126,1542,2515,2835,1659
2010,9077,6198,7357,3933,5804,5785,4843,3801,3459,1874,2693,3050,1770
2011,9500,6722,7667,4443,6121,6094,5044,4095,3768,2207,2888,3259,1900
2012,9976,7302,8010,4976,6421,6433,5280,4403,4124,2600,3122,3469,2032
2013,10415,7995,8397,5602,6773,6758,5556,4700,4480,2994,3373,3697,2164
2014,10862,8667,8756,6212,7146,7101,5844,5015,4828,3412,3664,3954,2319
2015,11367,9338,9122,6873,7499,7456,6149,5343,5168,3822,4028,4199,2485
2016,11906,10083,9537,7501,7893,7785,6445,5711,5495,4224,4377,4487,2609
2017,12414,10832,9972,8088,8250,8098,6743,6021,5818,4651,4718,4701,2728
2018,12927,11597,10361,8665,8618,8487,7029,6343,6128,5095,5081,4963,2858
2019,13478,12362,10794,9218,9018,8882,7323,6670,6456,5528,5422,5222,2966
2020,14056,13095,11163,9826,9382,9207,7605,6984,6738,5974,5741,5425,3068
2021,14198,13274,11260,9984,9507,9280,7669,7043,6774,6075,5837,5468,3088
